site_code,trt,plot,block,cover_year,Sample_ID,N,P,K,Exclose,Rootsgperm2,pH_rootsample
burrawan.au,N,17,2,2012,887,1,0,0,0,22.60152546,4.86
burrawan.au,NPK+Fence,14,2,2012,884,1,1,1,1,121.8401302,5.91
burrawan.au,Control,24,3,2012,894,0,0,0,0,149.5854422,6.45
burrawan.au,K,13,2,2012,883,0,0,1,0,22.62809501,5.97
burrawan.au,Fence,7,1,2012,877,0,0,0,1,362.8906285,5.37
burrawan.au,PK,26,3,2012,896,0,1,1,0,316.4099014,6.51
burrawan.au,Fence,12,2,2012,882,0,0,0,1,22.00918882,6.08
burrawan.au,PK,19,2,2012,889,0,1,1,0,23.72775459,5.72
burrawan.au,NP,11,2,2012,881,1,1,0,0,20.6012784,5.05
burrawan.au,NPK,3,1,2012,873,1,1,1,0,23.37138536,5.04
burrawan.au,N,4,1,2012,874,1,0,0,0,23.88420519,5.73
burrawan.au,Control,1,1,2012,871,0,0,0,0,187.2528987,5.79
burrawan.au,NK,18,2,2012,888,1,0,1,0,250.0931335,5.49
burrawan.au,NK,22,3,2012,892,1,0,1,0,88.77941981,6.57
burrawan.au,K,10,1,2012,880,0,0,1,0,37.40760562,6.14
burrawan.au,NK,2,1,2012,872,1,0,1,0,227.7903392,5.08
burrawan.au,Control,20,2,2012,890,0,0,0,0,72.19319582,5.89
burrawan.au,NPK+Fence,30,3,2012,900,1,1,1,1,105.1305131,5.78
burrawan.au,P,8,1,2012,878,0,1,0,0,104.3894215,5.86
burrawan.au,NPK,16,2,2012,886,1,1,1,0,22.85752647,5.97
burrawan.au,N,21,3,2012,891,1,0,0,0,30.16662162,7.03
burrawan.au,PK,9,1,2012,879,0,1,1,0,355.0763054,6.05
burrawan.au,NPK+Fence,5,1,2012,875,1,1,1,1,22.5701883,4.95
burrawan.au,P,23,3,2012,893,0,1,0,0,25.98639456,7.17
cbgb.us,Control,46,4,2011,488,0,0,0,0,102.7056287,3.37
cbgb.us,NK,57,6,2011,496,1,0,1,0,218.4372541,5.47
cbgb.us,Control,1,1,2011,451,0,0,0,0,160.5602846,6.29
cbgb.us,NP,21,2,2011,468,1,1,0,0,167.9139861,6.56
cbgb.us,PK,12,1,2011,460,0,1,1,0,172.3866766,6.26
cbgb.us,NK,6,1,2011,454,1,0,1,0,137.6277727,6.42
cbgb.us,P,64,6,2011,503,0,1,0,0,173.3708656,6.27
cbgb.us,NPK,28,3,2011,474,1,1,1,0,233.155437,6.21
cbgb.us,N,66,6,2011,504,1,0,0,0,96.87707641,6.31
cbgb.us,K,22,2,2011,469,0,0,1,0,125.8649028,6.69
cbgb.us,P,9,1,2011,457,0,1,0,0,198.5735018,6.28
cbgb.us,N,16,2,2011,464,1,0,0,0,38.76371836,6.7
cbgb.us,K,10,1,2011,458,0,0,1,0,175.3626924,6.52
cbgb.us,NP,51,5,2011,491,1,1,0,0,71.45023763,6.64
cbgb.us,Control,62,6,2011,501,0,0,0,0,142.069776,6.59
cbgb.us,Fence,18,2,2011,465,0,0,0,1,290.1735433,6.64
cbgb.us,NPK+Fence,8,1,2011,456,1,1,1,1,231.1993936,6.08
cbgb.us,P,13,2,2011,461,0,1,0,0,135.3165373,6.73
cbgb.us,PK,58,6,2011,497,0,1,1,0,408.1249449,6.16
cbgb.us,NP,25,3,2011,471,1,1,0,0,203.731136,6.31
cbgb.us,Control,33,3,2011,479,0,0,0,0,88.00500616,6.48
cbgb.us,NK,30,3,2011,476,1,0,1,0,72.69901916,6.67
cbgb.us,P,32,3,2011,478,0,1,0,0,257.6213934,6.1
cbgb.us,NK,50,5,2011,490,1,0,1,0,90.17951282,6.3
cbgb.us,NP,3,1,2011,452,1,1,0,0,194.2661304,6.53
cbgb.us,N,45,4,2011,487,1,0,0,0,159.0989903,6.79
cbgb.us,NK,37,4,2011,481,1,0,1,0,73.08831294,6.42
cbgb.us,P,55,5,2011,494,0,1,0,0,108.148688,6.36
cbgb.us,Fence,7,1,2011,455,0,0,0,1,128.9438461,6.33
cbgb.us,NPK,4,1,2011,453,1,1,1,0,311.699742,6.41
cbgb.us,NPK,38,4,2011,482,1,1,1,0,238.6049684,6.42
cbgb.us,PK,20,2,2011,467,0,1,1,0,327.4893652,6.69
cbgb.us,Control,24,2,2011,470,0,0,0,0,72.23113558,6.53
cbgb.us,PK,40,4,2011,484,0,1,1,0,67.22443004,6.45
cbgb.us,K,35,3,2011,480,0,0,1,0,289.6911007,5.76
cbgb.us,NK,14,2,2011,462,1,0,1,0,89.63976092,6.45
cbgb.us,Control,49,5,2011,489,0,0,0,0,76.05302579,6.36
cbgb.us,N,56,5,2011,495,1,0,0,0,88.4425246,6.29
cbgb.us,N,29,3,2011,475,1,0,0,0,121.6161854,6.77
cbgb.us,NPK+Fence,15,2,2011,463,1,1,1,1,263.9121621,6.79
cbgb.us,P,44,4,2011,486,0,1,0,0,101.2738395,6.28
cbgb.us,K,39,4,2011,483,0,0,1,0,141.7991133,6.55
cbgb.us,K,59,6,2011,498,0,0,1,0,182.8227547,6.13
cbgb.us,PK,52,5,2011,492,0,1,1,0,93.57294833,6.48
cbgb.us,N,11,1,2011,459,1,0,0,0,110.2360998,6.26
cbgb.us,PK,27,3,2011,473,0,1,1,0,187.7452228,6.4
cbgb.us,NP,60,6,2011,499,1,1,0,0,106.7858227,6.07
cbgb.us,NPK,61,6,2011,500,1,1,1,0,238.7995889,6.23
cbgb.us,NPK,19,2,2011,466,1,1,1,0,109.7513117,6.35
cbgb.us,NPK+Fence,26,3,2011,472,1,1,1,1,213.9110413,7.17
cbgb.us,Fence,31,3,2011,477,0,0,0,1,328.446814,6.31
cbgb.us,K,54,5,2011,493,0,0,1,0,134.1452263,6.48
cbgb.us,NP,41,4,2011,485,1,1,0,0,197.2448515,6.27
cdcr.us,NPK,3,1,2012,513,1,1,1,0,453.5102455,6.43
cdcr.us,Fence,27,3,2012,533,0,0,0,1,178.722064,6.19
cdcr.us,Fence,10,1,2012,518,0,0,0,1,1366.182747,6.77
cdcr.us,P,8,1,2012,517,0,1,0,0,257.2806386,5.23
cdcr.us,NPK+Fence,23,2,2012,529,1,1,1,1,386.9008361,5.71
cdcr.us,K,4,1,2012,514,0,0,1,0,1660.336702,6.25
cdcr.us,P,31,3,2012,536,0,1,0,0,1170.168785,5.87
cdcr.us,PK,28,3,2012,534,0,1,1,0,80.60369508,6.11
cdcr.us,NPK,33,3,2012,538,1,1,1,0,36.48307038,5.79
cdcr.us,NK,14,2,2012,522,1,0,1,0,1700.82906,5.75
cdcr.us,PK,15,2,2012,523,0,1,1,0,1640.228429,6.7
cdcr.us,Control,11,1,2012,519,0,0,0,0,219.1325664,5.22
cdcr.us,N,32,3,2012,537,1,0,0,0,205.3884712,6.02
cdcr.us,K,30,3,2012,535,0,0,1,0,280.8948657,6.35
cdcr.us,N,24,2,2012,530,1,0,0,0,122.0955238,5.49
cdcr.us,NP,2,1,2012,512,1,1,0,0,586.651516,6.44
cdcr.us,NK,25,3,2012,531,1,0,1,0,153.5706635,6.18
cdcr.us,P,19,2,2012,526,0,1,0,0,340.6260132,6
cdcr.us,Control,13,2,2012,521,0,0,0,0,124.8350882,6.3
cdcr.us,NPK+Fence,36,3,2012,540,1,1,1,1,87.04242174,6.2
cdcr.us,NK,12,1,2012,520,1,0,1,0,79.00612337,6.22
cdcr.us,Control,26,3,2012,532,0,0,0,0,73.00509084,6.55
cdcr.us,N,7,1,2012,516,1,0,0,0,84.76723724,6.16
cdcr.us,PK,6,1,2012,515,0,1,1,0,80.68459658,6.35
cdcr.us,NPK,18,2,2012,525,1,1,1,0,83.09087608,5.03
cdcr.us,NPK+Fence,1,1,2012,511,1,1,1,1,122.9632685,5.3
cdcr.us,NP,16,2,2012,524,1,1,0,0,517.9567078,6.47
cdcr.us,NP,35,3,2012,539,1,1,0,0,1341.13739,6.52
cdcr.us,Fence,21,2,2012,527,0,0,0,1,732.0031364,5.3
cdcr.us,K,22,2,2012,528,0,0,1,0,167.208214,6.8
cdpt.us,NPK,23,3,2011,293,1,1,1,0,533.0614093,6.43
cdpt.us,Fence,13,2,2011,283,0,0,0,1,234.0716775,6.38
cdpt.us,NP,11,2,2011,281,1,1,0,0,814.4610463,6.58
cdpt.us,N,21,3,2011,291,1,0,0,0,933.4230859,6.03
cdpt.us,Fence,8,1,2011,278,0,0,0,1,656.0997732,7.08
cdpt.us,NPK+Fence,22,3,2011,292,1,1,1,1,673.433642,6.12
cdpt.us,K,4,1,2011,274,0,0,1,0,241.5972343,7.13
cdpt.us,PK,14,2,2011,284,0,1,1,0,611.589593,6.48
cdpt.us,PK,27,3,2011,297,0,1,1,0,411.2305497,6.26
cdpt.us,N,18,2,2011,288,1,0,0,0,1194.38186,6.25
cdpt.us,NK,3,1,2011,273,1,0,1,0,1414.798555,6.68
cdpt.us,K,24,3,2011,294,0,0,1,0,1173.419554,6.44
cdpt.us,NP,6,1,2011,276,1,1,0,0,866.0223237,8.36
cdpt.us,Fence,28,3,2011,298,0,0,0,1,621.2240865,6.34
cdpt.us,NK,16,2,2011,286,1,0,1,0,129.3221415,6.75
cdpt.us,P,19,2,2011,289,0,1,0,0,840.4868372,6.36
cdpt.us,P,9,1,2011,279,0,1,0,0,1153.711136,6.41
cdpt.us,P,30,3,2011,300,0,1,0,0,1046.071769,6.4
cdpt.us,NPK,17,2,2011,287,1,1,1,0,439.1927872,6.3
cdpt.us,NPK+Fence,20,2,2011,290,1,1,1,1,91.06892588,5.86
cdpt.us,N,5,1,2011,275,1,0,0,0,1287.426533,5.95
cdpt.us,NK,29,3,2011,299,1,0,1,0,919.9542433,6.66
cdpt.us,K,15,2,2011,285,0,0,1,0,242.706365,6.33
cdpt.us,NPK,10,1,2011,280,1,1,1,0,571.2882617,6.46
cdpt.us,NP,25,3,2011,295,1,1,0,0,1303.8599,6.31
cdpt.us,Control,12,2,2011,282,0,0,0,0,643.3803396,6.7
cdpt.us,Control,2,1,2011,272,0,0,0,0,865.4564151,6.77
cdpt.us,PK,7,1,2011,277,0,1,1,0,1129.232742,7.94
cdpt.us,Control,26,3,2011,296,0,0,0,0,1371.771475,6.69
cdpt.us,NPK+Fence,1,1,2011,271,1,1,1,1,564.4947162,8.27
cowi.ca,P,11,2,2011,11,0,1,0,0,3489.992019,5.82
cowi.ca,NK,22,3,2011,22,1,0,1,0,1065.538187,5.98
cowi.ca,PK,27,3,2011,27,0,1,1,0,1832.093815,5.47
cowi.ca,NPK+Fence,23,3,2011,23,1,1,1,1,1843.994608,6.1
cowi.ca,NP,16,2,2011,16,1,1,0,0,2078.359606,5.78
cowi.ca,PK,7,1,2011,7,0,1,1,0,1066.409855,6.63
cowi.ca,N,20,2,2011,20,1,0,0,0,1005.31354,5.97
cowi.ca,P,30,3,2011,30,0,1,0,0,1333.936224,5.98
cowi.ca,P,5,1,2011,5,0,1,0,0,1394.49582,5.87
cowi.ca,N,21,3,2011,21,1,0,0,0,1500.951078,6.02
cowi.ca,NPK+Fence,18,2,2011,18,1,1,1,1,761.4206022,5.86
cowi.ca,K,4,1,2011,4,0,0,1,0,1590.488942,6.33
cowi.ca,Fence,28,3,2011,28,0,0,0,1,1541.911636,6.09
cowi.ca,Fence,8,1,2011,8,0,0,0,1,2187.21434,6.11
cowi.ca,N,2,1,2011,2,1,0,0,0,925.9627688,6.57
cowi.ca,Control,10,2,2011,10,0,0,0,0,1240.453383,6.15
cowi.ca,NPK+Fence,6,1,2011,6,1,1,1,1,2095.068163,6.55
cowi.ca,Control,25,3,2011,25,0,0,0,0,2086.358372,5.95
cowi.ca,NK,13,2,2011,13,1,0,1,0,2249.953108,6.58
cowi.ca,PK,15,2,2011,15,0,1,1,0,1987.906101,5.8
cowi.ca,NPK,19,2,2011,19,1,1,1,0,1590.339489,5.79
cowi.ca,Control,3,1,2011,3,0,0,0,0,1698.736041,6.8
cowi.ca,NK,12,1,2011,12,1,0,1,0,805.6037986,6.41
cowi.ca,NP,9,1,2011,9,1,1,0,0,2104.252003,6.29
cowi.ca,K,29,3,2011,29,0,0,1,0,1449.278248,6.13
cowi.ca,K,14,2,2011,14,0,0,1,0,3165.961218,6.28
cowi.ca,NP,24,3,2011,24,1,1,0,0,2649.147393,6.32
cowi.ca,NPK,26,3,2011,26,1,1,1,0,799.2192013,5.92
cowi.ca,Fence,17,2,2011,17,0,0,0,1,1122.447241,6.5
cowi.ca,NPK,1,1,2011,1,1,1,1,0,1780.563626,6.6
elliot.us,N,12,2,2011,132,1,0,0,0,72.27722772,NA
elliot.us,Control,29,3,2011,149,0,0,0,0,48.51485149,NA
elliot.us,Control,6,1,2011,126,0,0,0,0,131.6831683,NA
elliot.us,K,20,2,2011,140,0,0,1,0,46.53465347,NA
elliot.us,P,1,1,2011,121,0,1,0,0,63.36633663,6.14
elliot.us,PK,2,1,2011,122,0,1,1,0,94.05940594,NA
elliot.us,Fence,13,2,2011,133,0,0,0,1,100.990099,NA
elliot.us,P,23,3,2011,143,0,1,0,0,61.38613861,NA
elliot.us,N,3,1,2011,123,1,0,0,0,213.8613861,NA
elliot.us,NP,27,3,2011,147,1,1,0,0,73.26732673,NA
elliot.us,NK,5,1,2011,125,1,0,1,0,104.950495,NA
elliot.us,NPK,28,3,2011,148,1,1,1,0,106.9306931,NA
